# Infinium array platforms, from zhou-lab/InfiniumAnnotation at the tag in TAGS.
#
# Two directories per platform, with separate manifests and therefore separate
# trust anchors:
#   <platform>/          ordering, mask, coord, snp, typeI_ext   (sesame + kycg)
#   <platform>/KYCG/     the knowledgebase .cm sets              (kycg)
#
# The ordering table lives in the platform directory, one level ABOVE KYCG/.
# kycg used to keep its own copy inside KYCG/; that is the one path that had to
# move for a single download to serve both tools.
#
# This table says what EXISTS upstream. Which of these platforms a given
# tool carries is that tool's decision, made in its own generator -- a
# consumption list in the producer's data is the same inversion as a
# consumer's struct in the producer's repo.
#
# beads   IDAT nSNPsRead, for platform auto-detection. 0 = no detect.
# rows    probes in the platform's ordering. Hand-pinned: it is a property
#         of the ordering file's contents, not of the manifest.
#
# The count of .cm sets is NOT here -- it is counted from the cached
# KYCG/SHA256SUMS, so it cannot drift from what the tag actually publishes.
#
# platform	beads	rows	ordering
EPIC	1051815	866553	EPIC.ordering.tsv.gz
EPICv2	1105209	937690	EPICv2.ordering.tsv.gz
HM27	0	27722	HM27.ordering.tsv.gz
HM450	622399	486427	HM450.ordering.tsv.gz
Mammal40	0	38607	Mammal40.ordering.tsv.gz
MM285	0	287692	MM285.ordering.tsv.gz
MSA	384497	284309	MSA.ordering.tsv.gz
